Anno,Regione,Fonte,Copertura(GWh)
2023,Friuli-Venezia Giulia,Geotermoelettrico,0
2023,Friuli-Venezia Giulia,Idrico tradizionale,11.044266
2023,Friuli-Venezia Giulia,Termoelettrico tradizionale,186
2023,Friuli-Venezia Giulia,Bioenergie,570.5
2023,Friuli-Venezia Giulia,Fotovoltaico,727.9
2023,Friuli-Venezia Giulia,Idrico rinnovabile,1476.855734
2023,Friuli-Venezia Giulia,Saldo import/export,6601.2
2023,Lazio,Geotermoelettrico,0
2023,Lazio,Saldo import/export,0
2023,Lazio,Idrico tradizionale,0.043851
2023,Lazio,Eolico,146.3
2023,Lazio,Bioenergie,545.7
2023,Lazio,Idrico rinnovabile,988.356149
2023,Lazio,Fotovoltaico,2160.6
2023,Lazio,Termoelettrico tradizionale,18604.9
2023,Liguria,Geotermoelettrico,0
2023,Liguria,Idrico tradizionale,0.042847
2023,Liguria,Bioenergie,11.4
2023,Liguria,Idrico rinnovabile,139.057153
,,,
Applied filters: Year is 2023; Month is gen,,,
2022,Toscana,Geotermoelettrico,5449.3
2022,Toscana,Termoelettrico tradizionale,8262.1
2022,Trentino-Alto Adige,Saldo import/export,-1322.476
2022,Trentino-Alto Adige,Eolico,0
2022,Trentino-Alto Adige,Geotermoelettrico,0
2022,Trentino-Alto Adige,Idrico tradizionale,60.7
2022,Trentino-Alto Adige,Bioenergie,244.67607
2022,Trentino-Alto Adige,Fotovoltaico,529
2022,Trentino-Alto Adige,Termoelettrico tradizionale,1334.5
2022,Trentino-Alto Adige,Idrico rinnovabile,6213.6
2022,Umbria,Geotermoelettrico,0
2022,Umbria,Eolico,0.36
2022,Umbria,Idrico tradizionale,4.6
2022,Umbria,Bioenergie,162.13591
2022,Umbria,Fotovoltaico,593.1
2022,Umbria,Termoelettrico tradizionale,1010.6
2022,Umbria,Idrico rinnovabile,1026.7
2022,Umbria,Saldo import/export,2666.7042
2022,Valle d'Aosta,Saldo import/export,-1359.6762
2022,Valle d'Aosta,Geotermoelettrico,0
2022,Valle d'Aosta,Idrico tradizionale,0
2022,Valle d'Aosta,Eolico,4.4
2022,Valle d'Aosta,Bioenergie,6.876238
2022,Valle d'Aosta,Fotovoltaico,31.2
2022,Valle d'Aosta,Termoelettrico tradizionale,46.7
2022,Valle d'Aosta,Idrico rinnovabile,2389.1
2022,Veneto,Geotermoelettrico,0
2022,Veneto,Idrico tradizionale,0.5
2022,Veneto,Eolico,22
2022,Veneto,Bioenergie,1641.6318
2022,Veneto,Idrico rinnovabile,2461
2022,Veneto,Fotovoltaico,2506.4
2022,Veneto,Termoelettrico tradizionale,9613.2
2022,Veneto,Saldo import/export,15186.168
2022,Abruzzo,Geotermoelettrico,0
2022,Abruzzo,Idrico tradizionale,24.1
2022,Abruzzo,Bioenergie,73.15077
2022,Abruzzo,Eolico,435.3
2022,Abruzzo,Fotovoltaico,970.6
2022,Abruzzo,Saldo import/export,987.6492
2022,Abruzzo,Idrico rinnovabile,1100.5
2022,Abruzzo,Termoelettrico tradizionale,2918
2022,Basilicata,Saldo import/export,-1197.3082
2022,Basilicata,Geotermoelettrico,0
2022,Basilicata,Idrico tradizionale,0
2022,Basilicata,Bioenergie,224.90819
2022,Basilicata,Idrico rinnovabile,288.9
2022,Basilicata,Fotovoltaico,522.7
2022,Basilicata,Termoelettrico tradizionale,604
2022,Basilicata,Eolico,2793.6
2022,Calabria,Saldo import/export,-9836.121
2022,Calabria,Geotermoelettrico,0
2022,Calabria,Idrico tradizionale,6.8
2022,Calabria,Fotovoltaico,734.2
2022,Calabria,Idrico rinnovabile,853.2
2022,Calabria,Bioenergie,1145.3203
2022,Calabria,Eolico,2181.8
2022,Calabria,Termoelettrico tradizionale,11180.7
2022,Campania,Geotermoelettrico,0
2022,Campania,Idrico tradizionale,173.8
2022,Campania,Idrico rinnovabile,474.5
2022,Campania,Bioenergie,975.1941
2022,Campania,Fotovoltaico,1072.5
2022,Campania,Eolico,3368.8
2022,Campania,Saldo import/export,6015.4057
2022,Campania,Termoelettrico tradizionale,6432.2
2022,Emilia-Romagna,Geotermoelettrico,0
2022,Emilia-Romagna,Eolico,7.53
2022,Emilia-Romagna,Idrico tradizionale,57.2
2022,Emilia-Romagna,Idrico rinnovabile,460.3
2022,Emilia-Romagna,Saldo import/export,1777.9604
2022,Emilia-Romagna,Bioenergie,2551.2097
2022,Emilia-Romagna,Fotovoltaico,2577.8
2022,Emilia-Romagna,Termoelettrico tradizionale,21990.8
2022,Friuli-Venezia Giulia,Eolico,0
2022,Friuli-Venezia Giulia,Geotermoelettrico,0
2022,Friuli-Venezia Giulia,Idrico tradizionale,8.4
2022,Friuli-Venezia Giulia,Saldo import/export,566.551
2022,Friuli-Venezia Giulia,Fotovoltaico,673.9
2022,Friuli-Venezia Giulia,Bioenergie,693.249
2022,Friuli-Venezia Giulia,Idrico rinnovabile,866.7
2022,Friuli-Venezia Giulia,Termoelettrico tradizionale,7171.9
2022,Lazio,Geotermoelettrico,0
2022,Lazio,Idrico tradizionale,0
2022,Lazio,Eolico,138.2
2022,Lazio,Bioenergie,568.8995
2022,Lazio,Idrico rinnovabile,744.2
2022,Lazio,Fotovoltaico,2039.4
2022,Lazio,Saldo import/export,8790.4005
2022,Lazio,Termoelettrico tradizionale,10721.4
2022,Liguria,Geotermoelettrico,0
2022,Liguria,Idrico tradizionale,0
2022,Liguria,Bioenergie,15.691489
2022,Liguria,Idrico rinnovabile,89.5
2022,Liguria,Fotovoltaico,138.6
2022,Liguria,Eolico,202
2022,Liguria,Saldo import/export,2745.1086
2022,Liguria,Termoelettrico tradizionale,3215.4
2022,Lombardia,Eolico,0
2022,Lombardia,Geotermoelettrico,0
2022,Lombardia,Idrico tradizionale,679.2
2022,Lombardia,Fotovoltaico,2948.6
2022,Lombardia,Bioenergie,3655.9188
2022,Lombardia,Idrico rinnovabile,6062
2022,Lombardia,Saldo import/export,14315.082
2022,Lombardia,Termoelettrico tradizionale,39341
2022,Marche,Idrico tradizionale,-0.1
2022,Marche,Geotermoelettrico,0
2022,Marche,Eolico,34.4
2022,Marche,Bioenergie,127.61995
2022,Marche,Idrico rinnovabile,359.7
2022,Marche,Termoelettrico tradizionale,477.3
2022,Marche,Fotovoltaico,1409.7
2022,Marche,Saldo import/export,4986.18
2022,Molise,Saldo import/export,-1104.8862
2022,Molise,Geotermoelettrico,0
2022,Molise,Idrico tradizionale,0.1
2022,Molise,Bioenergie,117.186196
2022,Molise,Idrico rinnovabile,177.7
2022,Molise,Fotovoltaico,230
2022,Molise,Eolico,630.1
2022,Molise,Termoelettrico tradizionale,1378.3
2022,Piemonte,Saldo import/export,-2236.4824
2022,Piemonte,Geotermoelettrico,0
2022,Piemonte,Eolico,25.4
2022,Piemonte,Idrico tradizionale,478.9
2022,Piemonte,Bioenergie,1616.7824
2022,Piemonte,Fotovoltaico,2072.3
2022,Piemonte,Idrico rinnovabile,3652.7
2022,Piemonte,Termoelettrico tradizionale,19217.1
2022,Puglia,Saldo import/export,-16368.385
2022,Puglia,Geotermoelettrico,0
2022,Puglia,Idrico tradizionale,0
2022,Puglia,Idrico rinnovabile,10.3
2022,Puglia,Bioenergie,1214.6852
2022,Puglia,Fotovoltaico,4107
2022,Puglia,Eolico,5304
2022,Puglia,Termoelettrico tradizionale,23613.7
2022,Sardegna,Saldo import/export,-4225.897
2022,Sardegna,Geotermoelettrico,0
2022,Sardegna,Idrico tradizionale,139.9
2022,Sardegna,Idrico rinnovabile,280.8
2022,Sardegna,Bioenergie,528.7966
2022,Sardegna,Fotovoltaico,1328.7
2022,Sardegna,Eolico,1647.3
2022,Sardegna,Termoelettrico tradizionale,9222.4
2022,Sicilia,Saldo import/export,-88.25182
2022,Sicilia,Geotermoelettrico,0
2022,Sicilia,Idrico rinnovabile,175.7
2022,Sicilia,Bioenergie,194.85182
2022,Sicilia,Idrico tradizionale,227.4
2022,Sicilia,Fotovoltaico,2135.3
2022,Sicilia,Eolico,3194.9
2022,Sicilia,Termoelettrico tradizionale,13525
2022,Toscana,Idrico tradizionale,0
2022,Toscana,Eolico,243.3
2022,Toscana,Bioenergie,335.43277
2022,Toscana,Idrico rinnovabile,355.5
2022,Toscana,Fotovoltaico,1053
2022,Toscana,Saldo import/export,4079.367
,,,
Applied filters: Year is 2022; Month is gen,,,
2021,Marche,Geotermoelettrico,0
2021,Marche,Idrico tradizionale,29.488148
2021,Marche,Bioenergie,100
2021,Marche,Idrico rinnovabile,470.511852
2021,Marche,Termoelettrico tradizionale,500
2021,Marche,Fotovoltaico,1300
2021,Marche,Saldo import/export,5200
2021,Molise,Saldo import/export,-1300
2021,Molise,Idrico tradizionale,-42.566444
2021,Molise,Geotermoelettrico,0
2021,Molise,Bioenergie,100
2021,Molise,Fotovoltaico,200
2021,Molise,Idrico rinnovabile,242.566444
2021,Molise,Eolico,700
2021,Molise,Termoelettrico tradizionale,1600
2021,Piemonte,Saldo import/export,-5900
2021,Piemonte,Eolico,0
2021,Piemonte,Geotermoelettrico,0
2021,Piemonte,Idrico tradizionale,488.536018
2021,Piemonte,Bioenergie,1700
2021,Piemonte,Fotovoltaico,1900
2021,Piemonte,Idrico rinnovabile,5911.463982
2021,Piemonte,Termoelettrico tradizionale,21000
2021,Puglia,Saldo import/export,-12000
2021,Puglia,Idrico tradizionale,-9.669685
2021,Puglia,Geotermoelettrico,0
2021,Puglia,Idrico rinnovabile,9.669685
2021,Puglia,Bioenergie,1400
2021,Puglia,Fotovoltaico,3800
2021,Puglia,Eolico,5300
2021,Puglia,Termoelettrico tradizionale,19800
2021,Sardegna,Saldo import/export,-3000
2021,Sardegna,Geotermoelettrico,0
2021,Sardegna,Idrico tradizionale,144.709287
2021,Sardegna,Idrico rinnovabile,455.290713
2021,Sardegna,Bioenergie,500
